Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
1,x1_dot = (-2.295*x1**9*x2**8 - 0.08098*x1**9 + 0.06309*x1**8 - 0.01106*x1*x2**8 - 0.003461*x2**8 + 1.074e-5)/(-0.04299*x1**9 + 1.0*x1**8*x2**8 + 0.03552*x1**8 + 0.1518*x1*x2**8 - 0.05597*x2**8 + 6.066e-5),6,6,True
2,x1_dot = (-5.983*x1**9*x2**8 - 0.3003*x1**9 + 0.2289*x1**8 - 0.1342*x1*x2**8 + 0.02987*x2**8 + 2.44e-5)/(-0.1524*x1**9 + 1.0*x1**8*x2**8 + 0.1234*x1**8 + 0.7479*x1*x2**8 - 0.2872*x2**8 + 0.0001904),6,6,True
3,x1_dot = (0.001657*x1**9 - 0.7945*x1**8*x2**8 + 0.0002404*x1**8 + 0.08963*x1*x2**8 - 0.04579*x2**8 + 2.217e-5)/(0.02252*x1**9 + 1.0*x1**8*x2**8 - 0.01466*x1**8 - 0.1233*x1*x2**8 + 0.06468*x2**8 + 5.136e-5),6,6,True
4,x1_dot = (0.006691*x1**9 - 0.7054*x1**8*x2**8 - 0.003623*x1**8 + 0.08634*x1*x2**8 - 0.04297*x2**8 + 1.948e-5)/(0.02167*x1**9 + 1.0*x1**8*x2**8 - 0.01434*x1**8 - 0.1342*x1*x2**8 + 0.06704*x2**8 + 4.257e-5),6,6,True
5,x1_dot = (-6.534e+13*x1**9*x2**8 + 9.1e+13*x1**9 + 2.523e+15*x1**8*x2**8 - 7.293e+13*x1**8 - 1.174e+14*x1*x2**8 + 7.818e+13*x2**8 - 6.435e+10)/(0.6695*x1**9*x2**8 - 4.203e+13*x1**9 + 1.0*x1**8*x2**8 + 1.895e+13*x1**8 - 2.017e+14*x1*x2**8 + 4.36e+13*x2**8 - 2.024e+11),7,7,True
6,x1_dot = (-2.302e+9*x1**9*x2**8 - 4.075e+7*x1**9 + 3.577e+8*x1**8*x2**8 + 3.384e+7*x1**8 + 3.645e+7*x1*x2**8 - 2.934e+7*x2**8 + 2.743e+4)/(0.6638*x1**9*x2**8 + 1.888e+7*x1**9 + 1.0*x1**8*x2**8 - 7.121e+6*x1**8 + 1.033e+8*x1*x2**8 - 2.333e+7*x2**8 + 8.649e+4),7,7,True
8,x1_dot = (-0.02724*x1**9 - 0.3017*x1**8*x2**8 + 0.02044*x1**8 - 0.04881*x1*x2**8 + 0.02963*x2**8 - 2.305e-5)/(-0.1048*x1**9 + 1.0*x1**8*x2**8 + 0.07192*x1**8 + 0.01222*x1*x2**8 - 0.02121*x2**8 - 6.976e-5),6,6,True
9,x1_dot = (-0.03378*x1**9 - 0.03404*x1**8*x2**8 + 0.02455*x1**8 - 0.0953*x1*x2**8 + 0.05515*x2**8 - 3.942e-5)/(-0.1578*x1**9 + 1.0*x1**8*x2**8 + 0.107*x1**8 + 0.04017*x1*x2**8 - 0.04231*x2**8 - 0.0001194),6,6,True
10,x1_dot = (0.01952*x1**9 - 0.3237*x1**8*x2**8 - 0.01397*x1**8 + 0.06829*x1*x2**8 - 0.03095*x2**8 + 8.22e-6)/(0.00906*x1**9 + 1.0*x1**8*x2**8 - 0.006992*x1**8 - 0.173*x1*x2**8 + 0.07779*x2**8 + 5.102e-6),6,6,True
11,x1_dot = (0.03823*x1**9 - 0.02846*x1**8 + 0.06685*x1*x2**8 - 0.02711*x2**8 + 1.819e-6)/(0.009556*x1**9 + 1.0*x1**8*x2**8 - 0.008554*x1**8 - 0.2302*x1*x2**8 + 0.09777*x2**8 - 2.065e-5),5,6,True
12,x1_dot = (0.012*x1**9 - 0.01843*x1**8*x2**8 - 0.009092*x1**8 + 0.006631*x2**8 - 1.177e-5)/(-0.02346*x1**9 + 1.0*x1**8*x2**8 + 0.01458*x1**8 - 0.09625*x1*x2**8 + 0.02929*x2**8 - 3.706e-5),5,6,True
13,x1_dot = (0.7167*x1**9*x2**8 + 1.85e+14*x1**9 + 1.081*x1**8*x2**8 - 1.429e+14*x1**8 + 6.714*x1*x2**8 + 1.03e+14*x2**8 - 1.762e+11)/(2.211e+16*x1**9*x2**8 - 3.628e+14*x1**9 + 1.0*x1**8*x2**8 + 2.212e+14*x1**8 - 1.343e+15*x1*x2**8 + 3.937e+14*x2**8 - 5.505e+11),7,7,True
